city_id,grievance_id,ward_id,ward_name_raw,ward_name_canon,category_raw,sub_category_raw,category_norm,description,created_at,status,lat,lng
blr,20096245,185.0,Yelachenahalli,Yelchenahalli,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 12:17:00,Closed,,
blr,20096244,36.0,Mathikere,Mattikere,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 12:13:00,Closed,,
blr,20096243,17.0,J.P.Park,J P Park,Solid Waste (Garbage) Related,Sweeping not done,GARBAGE,,2020-12-31 12:10:00,Closed,,
blr,20096242,17.0,J.P.Park,J P Park,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 12:10:00,Closed,,
blr,20096241,6.0,Thanisandra,Thanisandra,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 12:07:00,Closed,,
blr,20096240,58.0,Newthippasandra,New Tippasandara,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:57:00,Closed,,
blr,20096239,117.0,Shanthi Nagar,Shanthi Nagar,Electrical,Requirement For New Street Lights,STREETLIGHT,,2020-12-31 11:52:00,Closed,,
blr,20096238,197.0,Vasanthapura,Vasanthpura,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:44:00,Closed,,
blr,20096237,2.0,Chowdeshwari Ward,Chowdeswari Ward,Solid Waste (Garbage) Related,Sweeping not done,GARBAGE,,2020-12-31 11:42:00,Closed,,
blr,20096236,44.0,Marappana Palya,Marappana Palya,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 11:38:00,Closed,,
blr,20096235,9.0,Vidyaranyapura,Vidyaranyapura,Road Maintenance(Engg),Debris Removal / Construction Material,GARBAGE,,2020-12-31 11:36:00,Closed,,
blr,20096234,174.0,HSR Layout,HSR Layout,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:34:00,Closed,,
blr,20096233,27.0,Banaswadi,Banasavadi,Solid Waste (Garbage) Related,Dead animal(s),GARBAGE,,2020-12-31 11:31:00,Closed,,
blr,20096232,162.0,Giri Nagar,Girinagar,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 11:28:00,Closed,,
blr,20096231,101.0,Kamakshipalya,Kamakshipalya,Road Maintenance(Engg),Road side drains,DRAINAGE,,2020-12-31 11:27:00,Closed,,
blr,20096230,193.0,Arakere,Arakere,Road Maintenance(Engg),Potholes,ROADS,,2020-12-31 11:24:00,Closed,,
blr,20096229,162.0,Giri Nagar,Girinagar,Solid Waste (Garbage) Related,Sweeping not done,GARBAGE,,2020-12-31 11:24:00,Closed,,
blr,20096228,183.0,Chikkalasandra,Chikkalsandra,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:20:00,Closed,,
blr,20096227,174.0,HSR Layout,HSR Layout,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:18:00,Closed,,
blr,20096226,151.0,Koramangala,Koramangala,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:18:00,Closed,,
blr,20096225,,Subedarapalya,,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 11:16:00,Closed,,
blr,20096224,,Jnanabharathi Ward,,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 11:14:00,Closed,,
blr,20096223,26.0,Ramamurthy Nagar,Ramamurthy Nagar,veterinary,Animal birth control/neutering of stray dogs,OTHER,,2020-12-31 11:04:00,Closed,,
blr,20096222,167.0,Yadiyuru,Yediyur,Solid Waste (Garbage) Related,Garbage vehicle not arrived,GARBAGE,,2020-12-31 11:00:00,Closed,,
blr,20096221,27.0,Banaswadi,Banasavadi,Solid Waste (Garbage) Related,Garbage dump,GARBAGE,,2020-12-31 10:57:00,Closed,,
blr,20096220,52.0,K.R.Puram,K R Puram,Solid Waste (Garbage) Related,Sweeping not done,GARBAGE,,2020-12-31 10:57:00,Resolved,,
blr,20096219,147.0,Adugodi,Adugodi,Solid Waste (Garbage) Related,Dead animal(s),GARBAGE,,2020-12-31 10:57:00,Closed,,
blr,20096218,191.0,Singasandra,Singasandra,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:56:00,Closed,,
blr,20096217,160.0,Rajarajeshwari Nagar,Rajarajeshwari Nagar,Solid Waste (Garbage) Related,Sweeping not done,GARBAGE,,2020-12-31 10:51:00,Closed,,
blr,20096216,54.0,Hoodi,Hudi,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:33:00,Closed,,
blr,20096215,149.0,Varthur,Varthuru,Road Maintenance(Engg),Debris Removal / Construction Material,GARBAGE,,2020-12-31 10:29:00,Closed,,
blr,20096214,73.0,Kottigepalya,Kottegepalya,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:28:00,Closed,,
blr,20096213,77.0,Dattathreya Temple,Dattatreya Temple,Electrical,Street Light Not Working,STREETLIGHT,,2020-12-31 10:27:00,Closed,,
